Word	labels
Hard	2
audio	0
interface	3
feel	2
like	2
tool	3
speaking	0
computer	3
Computer	3
able	2
somewhat	2
intelligently	2
respond	0
Marin	2
Hitchhikers	2
Guide	1
Galaxy	2
Enter	1
password	3
Seamlessly	3
search	3
online	3
knowledge	2
augment	2
daily	2
life	2
professionally	2
socially	2
Search	3
location	3
google	3
maps	3
Play	1
song	2
Make	1
calendar	0
events	2
Basically	2
everything	2
note	0
Interact	3
directly	3
siri	2
Lessons	1
practice	2
learning	2
language	0
duo	2
lingo	2
example	2
order	2
Amazon	3
Control	3
smart	2
home	2
devices	3
Remember	1
key	2
points	2
conversations	0
Save	1
workout	2
statistics	2
gym	2
reps	2
sets	2
notes	0
form	2
Language	3
translation	0
Like	2
give	2
cooking	2
steps	2
parts	2
neeeded	2
circuit	2
Would	1
use	2
interval	2
timer	2
Unlocking	1
car	2
turning	2
tv	2
water	2
intake	2
per	2
day	2
already	2
covered	2
Smart	2
applications	3
would	2
cool	2
new	2
hearing	0
aid	2
takes	2
feedback	3
glasses	2
focusing	2
amplifying	2
sound	2
focal	2
point	2
Reminders	0
Activate	1
lamps	2
etc	2
generate	2
get	2
information	3
news	0
articles	0
weather	2
music	2
Reference	3
keyword	3
searches	3
conversation	0
think	2
smooth	2
integrated	3
lifes	2
actual	2
case	2
motivational	2
quote	0
beginning	2
words	0
remind	0
remain	2
motivated	2
Write	1
documents	0
Making	1
calls	0
send	0
personal	2
voice	0
messages	0
Find	1
route	2
navigate	3
take	2
photo	0
set	2
navigation	3
driving	2
Call	1
uber	2
choose	2
play	2
Access	3
general	2
web	3
available	3
love	2
save	2
recent	2
Ask	1
questions	0
Start	1
fitness	2
device	3
General	2
control	2
playback	3
Connecting	3
IoT	3
stock	2
market	2
ordering	3
stuff	2
amazon	3
Conduct	1
bank	2
payments	0
sort	2
calculations	2
create	2
aggregations	3
world	2
data	3
Set	1
reminders	0
Calendar	1
orders	3
purchases	3
restaurant	2
bookings	3
Conversation	1
Schedule	1
appointments	3
meetings	0
dinner	2
reservations	3
Buy	1
tickets	3
movies	2
answer	0
phone	0
text	0
dictate	2
emails	0
interact	3
websites	3
Turn	1
appliances	3
lights	2
Get	1
directions	3
ask	0
